ticker,ticker_yfinance,sector,window_id,variant,ma_type,fast_window,slow_window,threshold_pct,use_volume_filter,volume_window,volume_multiplier,signal_column,in_sample_start,in_sample_end,out_sample_start,out_sample_end,total_active_signals,correct_signals,directional_accuracy,hit_rate
DSSA,DSSA.JK,Energi,1,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
DSSA,DSSA.JK,Energi,1,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
DSSA,DSSA.JK,Energi,2,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
DSSA,DSSA.JK,Energi,2,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
DSSA,DSSA.JK,Energi,2,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
DSSA,DSSA.JK,Energi,2,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
DSSA,DSSA.JK,Energi,2,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
DSSA,DSSA.JK,Energi,3,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
DSSA,DSSA.JK,Energi,3,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,4,2,50.0,50.0
DSSA,DSSA.JK,Energi,3,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
DSSA,DSSA.JK,Energi,3,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,3,2,66.66666666666666,66.66666666666666
DSSA,DSSA.JK,Energi,3,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,2,100.0,100.0
DSSA,DSSA.JK,Energi,4,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,1,100.0,100.0
DSSA,DSSA.JK,Energi,4,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,1,100.0,100.0
DSSA,DSSA.JK,Energi,4,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,1,100.0,100.0
DSSA,DSSA.JK,Energi,4,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
DSSA,DSSA.JK,Energi,4,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
CUAN,CUAN.JK,Energi,1,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
CUAN,CUAN.JK,Energi,1,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,1,100.0,100.0
CUAN,CUAN.JK,Energi,1,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,1,100.0,100.0
CUAN,CUAN.JK,Energi,1,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,1,100.0,100.0
CUAN,CUAN.JK,Energi,1,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,1,100.0,100.0
CUAN,CUAN.JK,Energi,2,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
CUAN,CUAN.JK,Energi,2,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
CUAN,CUAN.JK,Energi,2,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
CUAN,CUAN.JK,Energi,2,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,2,1,50.0,50.0
CUAN,CUAN.JK,Energi,2,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,0,0.0,0.0
CUAN,CUAN.JK,Energi,3,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
CUAN,CUAN.JK,Energi,3,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
CUAN,CUAN.JK,Energi,3,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
CUAN,CUAN.JK,Energi,3,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
CUAN,CUAN.JK,Energi,3,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
CUAN,CUAN.JK,Energi,4,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
CUAN,CUAN.JK,Energi,4,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
CUAN,CUAN.JK,Energi,4,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
CUAN,CUAN.JK,Energi,4,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
CUAN,CUAN.JK,Energi,4,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,1,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
ADRO,ADRO.JK,Energi,1,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,1,50.0,50.0
ADRO,ADRO.JK,Energi,1,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
ADRO,ADRO.JK,Energi,1,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,1,50.0,50.0
ADRO,ADRO.JK,Energi,1,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,2,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,2,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,2,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,2,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,4,1,25.0,25.0
ADRO,ADRO.JK,Energi,2,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,3,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
ADRO,ADRO.JK,Energi,3,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,3,2,66.66666666666666,66.66666666666666
ADRO,ADRO.JK,Energi,3,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,3,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,3,2,66.66666666666666,66.66666666666666
ADRO,ADRO.JK,Energi,3,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,4,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,4,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,4,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,4,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
ADRO,ADRO.JK,Energi,4,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
ADMR,ADMR.JK,Energi,1,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
ADMR,ADMR.JK,Energi,1,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,5,2,40.0,40.0
ADMR,ADMR.JK,Energi,1,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,1,50.0,50.0
ADMR,ADMR.JK,Energi,1,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
ADMR,ADMR.JK,Energi,1,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
ADMR,ADMR.JK,Energi,2,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
ADMR,ADMR.JK,Energi,2,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,2,1,50.0,50.0
ADMR,ADMR.JK,Energi,2,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,1,100.0,100.0
ADMR,ADMR.JK,Energi,2,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,2,66.66666666666666,66.66666666666666
ADMR,ADMR.JK,Energi,2,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,1,100.0,100.0
ADMR,ADMR.JK,Energi,3,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,2,100.0,100.0
ADMR,ADMR.JK,Energi,3,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
ADMR,ADMR.JK,Energi,3,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
ADMR,ADMR.JK,Energi,3,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,2,100.0,100.0
ADMR,ADMR.JK,Energi,3,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
ADMR,ADMR.JK,Energi,4,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,1,100.0,100.0
ADMR,ADMR.JK,Energi,4,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
ADMR,ADMR.JK,Energi,4,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
ADMR,ADMR.JK,Energi,4,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,3,1,33.33333333333333,33.33333333333333
ADMR,ADMR.JK,Energi,4,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,1,100.0,100.0
BUMI,BUMI.JK,Energi,1,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
BUMI,BUMI.JK,Energi,1,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,1,50.0,50.0
BUMI,BUMI.JK,Energi,1,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
BUMI,BUMI.JK,Energi,1,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,1,50.0,50.0
BUMI,BUMI.JK,Energi,1,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
BUMI,BUMI.JK,Energi,2,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,1,100.0,100.0
BUMI,BUMI.JK,Energi,2,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,2,1,50.0,50.0
BUMI,BUMI.JK,Energi,2,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,0,0.0,0.0
BUMI,BUMI.JK,Energi,2,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,1,33.33333333333333,33.33333333333333
BUMI,BUMI.JK,Energi,2,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
BUMI,BUMI.JK,Energi,3,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
BUMI,BUMI.JK,Energi,3,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
BUMI,BUMI.JK,Energi,3,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
BUMI,BUMI.JK,Energi,3,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,1,50.0,50.0
BUMI,BUMI.JK,Energi,3,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
BUMI,BUMI.JK,Energi,4,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BUMI,BUMI.JK,Energi,4,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
BUMI,BUMI.JK,Energi,4,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
BUMI,BUMI.JK,Energi,4,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
BUMI,BUMI.JK,Energi,4,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
TCPI,TCPI.JK,Energi,1,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
TCPI,TCPI.JK,Energi,1,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,1,50.0,50.0
TCPI,TCPI.JK,Energi,1,EMA10/EMA50 | Threshold 0.10% | Volume >= VolMA20,EMA,10,50,0.001,True,20,1.0,EMA_10_50_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
TCPI,TCPI.JK,Energi,1,EMA14/EMA21 | No Threshold | No Volume Filter,EMA,14,21,0.0,False,20,0.0,EMA_14_21_TH_0p0_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,4,2,50.0,50.0
TCPI,TCPI.JK,Energi,1,EMA14/EMA21 | Threshold 0.10% | Volume >= VolMA20,EMA,14,21,0.001,True,20,1.0,EMA_14_21_TH_0p001_VOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
TCPI,TCPI.JK,Energi,2,SMA20/SMA50 + Threshold 0.10% + Volume >= VolMA20,SMA,20,50,0.001,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
TCPI,TCPI.JK,Energi,2,EMA10/EMA50 | No Threshold | No Volume Filter,EMA,10,50,0.0,False,20,0.0,EMA_10_50_TH_0p0_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,5,3,60.0,60.0
